date,link,text,compensation,type,images,address
2020-11-10 13:23,https://newyork.craigslist.org/jsy/egr/d/jersey-city-draftsman-needed/7228636186.html,DRAFTSMAN NEEDED,to be discussed upon interview,full-time,,"
        ,
Stone fabrication company specializing in the high end stone work is now hiring for a position of draftsman/estimator. ,
Key responsibilities and requirements include: ,
-Experience in drafting of drawings; ,
-Candidate must know AutoCAD and Photoshop; ,
-Preparing calculations for material take-offs and labor costs; ,
-Obtaining pricing from suppliers; ,
-Language: English and Russian is a MUST! ,
If you are interested in a full-time position with us please send us your resume through this ad    "
2020-11-10 13:41,https://newyork.craigslist.org/mnh/egr/d/new-york-license-junior-architect/7228649985.html,LICENSE JUNIOR ARCHITECT,Compensation will be discuss,employee's choice,,"
        ,
Assist with preparation of designs, complete construction documents, create building plans and assist in the presentation of materials. Work under the direct supervision of General Contractor.,
Occasion may work onsite with developing Architectural and Structural drawing designs.  ,
License for (Ny, Ny & Westchester County).,
,
Please be advise serious candidates only with Architectural license -A minimum of 1 year experience.    "
2020-11-10 18:46,https://newyork.craigslist.org/brk/egr/d/brooklyn-7haus-kitchens-designer/7228841982.html,7Haus Kitchens - Designer,Basesalary,full-time,,"
        ,
Seeking motivated, design-oriented self-starter for a high-end European kitchen design studio. While a formal background in design is not a requirement, an understanding and an eye for aesthetic structure is a must. Previous experience in computer related design software is a plus. Organizational skills are imperative.,
,
Candidate will be working alongside a fun and experienced team to create and develop plans for both retail and commercial upscale kitchens using sophisticated design software. Kitchens will integrate the most modern advances in custom cabinetry and appliance technology. Projects will be focused primarily in New York City but will span the globe.,
,
Position is full time but flexibility on schedule can be considered. Compensation will be based on experience and previous training.    "
2020-10-19 11:00,https://newyork.craigslist.org/fct/egr/d/greenwich-project-architect-contracted/7216622879.html,Project Architect-Contracted Position,Contracted Project Work That Pays by Project,contract,,"
        ,
Boutique architecture firm is searching for a Project Architect. Position available immediately.,
,
We offer a small team environment in a busy established studio, and the opportunity to develop further expertise in the design and construction of custom homes and apartments located primarily in Fairfield, Westchester, and NYC. ,
This is a PROJECT CONTRACTED position rather than a full time position (work and pay is project-by-project depending on availability of projects. Must know Archi-CAD in a Mac-based environment. Specifically looking for some one who can work on both independently and as an effective team member and have a successful history of managing projects in a fast-paced environment. Great opportunity to work on exciting and interesting projects.,
Requirements:,
,
• Bachelor's degree minimum,
• 10+ years residential architecture experience,
• Fluent in Archi-CAD and experienced in Mac-based environment.,
• Competency in preparation and management of contract documents, research, 3-D modeling, and rendering.,
,
,
To apply, please submit:,
,
• A cover letter stating relevant experience and skills;,
,
• A resume or CV that clearly documents the required qualifications;,
    "
2020-10-19 14:15,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-licensed-ra-or/7216774559.html,Facade / Building Envelope Licensed RA or PE,Commensurate with experience,full-time,,"
        ,
, ,

As , New York City's leading professional firm dedicated to exterior restoration of buildings and infrastructure, continues our practice from a safe, socially responsible distance, we are proudly committed to keeping our superb staff intact for the duration of this crisis. In fact, we are presently open to augmenting our team, building on over thirty years of dedication to the preservation and renewal of buildings and infrastructure., 
We’re currently considering candidates who are NY State-licensed professional engineers or architects with 7 to 10 years of building-envelope experience. , 
We offer the resources of a large firm with the collaborative culture of a smaller studio, plus access to industry-leading technology and an in-house non-destructive testing lab.
If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio.,
    "
2020-10-19 18:05,https://newyork.craigslist.org/lgi/egr/d/great-neck-draftsperson/7216932766.html,Draftsperson,TBD,part-time,,"
        ,
Seeking Part Time draftperson (Architectural/Engineering) for busy established architectural firm located in Great Neck, Long Island.,
,
Must be motivated and a true self starter. Ability to work on multiple projects & various project types. Ability to coordinate with various consultants.,
,
Familiarity with all aspects of construction drawings, working knowledge of construction and building materials, zoning, building code,  etc.,
,
 Duties will also include, meetings with clients, contractors, working with various Towns/Villages Building Departments, Measuring properties, etc,
,
 Must be able to Multi-task.   Must be a TEAM PLAYER,
 Quality, Accuracy is a MUST,
 Professional Working Environment,
,
,
    "
2020-10-20 00:01,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-lighting/7217072388.html,Architectural/lighting designer for public artwork,hourly or flat fee based on experience,contract,,"
        ,
We’re a research and development based art studio based in Brooklyn that produces projects ranging from small multimedia installations and sculptures to large-scale sound-reactive and interactive light installations. We’re working on a few new projects including a public light installation and are looking for an architectural and/or lighting designer to assist from concept and design development to production on multiple projects. Most of the design charrettes can be done from home but all the fabrication and installation visits will need to be done in-person. Please email your resume and portfolio in one PDF (no greater than 10 MB) with the subject ""Architectural designer"" or ""Lighting designer"". Your portfolio shouldn't include more than 5 projects. Submissions without these requirements will not be considered. Only selected candidates will be contacted.    "
2020-10-20 13:37,https://newyork.craigslist.org/mnh/egr/d/new-york-job-placement-after-training/7217336159.html,"Job Placement after training, certification and paid internship",Paid internship for 175 hours; you will be paid $15 per hour after graduation prevailing wages jobs opportunity,full-time,"https://images.craigslist.org/00q0q_ab5k4fDM5mW_0bc0ew_600x450.jpg,https://images.craigslist.org/00C0C_gWwWoj90UL3_0jm0h6_600x450.jpg,https://images.craigslist.org/00E0E_9uc0hKbvdpR_0x20lT_600x450.jpg,https://images.craigslist.org/00505_guk8xd4A6p6_0wg0jV_600x450.jpg,https://images.craigslist.org/00g0g_dz0xeYm6nJd_0p90t2_600x450.jpg","
        ,
AHRC NYC is offering a FREE 16 week training program for Youth in NYC who would like to go into one of the best paid job - janitorial, custodial. ,
,
Careers in Environmental Services program is offering each student an opportunity to get a certificate from ISSA Cleaning Management Institute and become Certified Custodian Technicians in 16 weeks. ,
,
The program is funded by DYCD for youth aged 16-24.,
,
• Program services are provided remotely - technology provided when needed.,
• Participants will receive a weekly stipend during the remote classroom and hands-on training. This is a 16 week program with one year follow up services.,
• Upon completion, successful graduates will receive job placement services.,
• Graduates will receive internationally recognized certification from ISSA Cleaning Management Institute and become Certified Custodian Technicians- Basic Level (Advanced is available for students),
• The program is open for youth 16-24 years of age who are economically disadvantaged,,
are out of school and do not have a college degree. Individuals with disabilities are welcome,
• Learn various janitorial techniques such as high and low dusting, sweeping and mopping floors, washing walls, glass, mirror, chrome polishing, sanitization of bathrooms, buffing floors, dusting furniture and other fixtures, proper disposal of garbage, and handling various types of cleaning supplies. Special training on COVID-19 Disinfecting Services,
• Hands-on training in a variety of janitorial tasks at renowned NYC healthcare institutions,
• OSHA 10 General Industry Certification,
• Career counseling to help you sort out what you really want for the future,
• Paid internship for 175 hours for $15 per hour to learn janitorial work,
,
Call today to book your spot! Next Cohort Starts 11/09/2020    "
2020-10-21 12:33,https://newyork.craigslist.org/lgi/egr/d/valley-stream-structural-engineer/7217870558.html,Structural Engineer,salary based on a candidate's experience,full-time,,"
        ,
Our Engineering firm is looking for a full-time structural design engineer, with EIT to join our office in Valley Stream, Long Island. ,
 ,
The ideal candidate must have 2+ years of experience in the Structural Engineering field, onsite experience, and AUTOCAD proficiency. Experience with engineering software such as RAM, ETABS, SAP, Revit and RISA are a major plus. ,
,
We are a small but growing fast paced engineering firm. The candidate will be working on structural engineering projects from start to finish. The candidate must have the ability to multitask, must have great communication and writing skills. He/she will be working closely with other Project Engineer and support staff to assure our project goals are met in a timely manner. The hourly rate will be determined according to experience. ,
,
Please forward us your resume along with a cover letter introducing yourself and your related experience to:  ,
,
paola@cmceny.com ,
 ,
We are conveniently located by the Valley Stream Long Island Rail Road station. We look forward to hearing from you.  Thank you and best regards.,
    "
2020-10-21 15:09,https://newyork.craigslist.org/wch/egr/d/dobbs-ferry-project-manager-architect/7217983572.html,Project Manager / Architect,Compensation to be commensurate with experience.,full-time,,"
        ,
Michael Lewis Architects PC is looking for a talented and energized architect with 3-4 years practical experience to manage and work on a variety of engaging projects. Work includes design, project management, computer drafting, construction administration, and the full range of tasks needed to see projects through to completion. The firm is located along the Hudson River in Dobbs Ferry, NY, close to the train station about a half hour north from Grand Central Station on Metro North's Hudson Line.,
,
Our team is open, relaxed, and friendly. This opportunity offers a wide variety of experiences as well the potential for rapid growth and increased responsibility and control. MLA participates in the NCARB Architectural Experience Program (AXP) for those seeking to complete licensing requirements.  In response to COVID, arrangements for working remotely in conjunction with the office needs are open for discussion.,
,
Minimum Qualifications:,
-BArch or BS/Arch degree,
-At least 3 years of professional experience,
-Experience managing projects and in construction oversight,
-Strong CAD abilities (We use Vectorworks software: experience with it would be highly beneficial),
-Computer rendering experience,
-Strong communication skills and a collaborative spirit,
,
Desired Experience / Abilities: ,
-Photoshop,
-Website management and maintenance,
-Social media management,
-Microsoft office,
-Google suite,
,
The position offered is primarily full time, however, qualified part time candidates may also apply. Compensation will be commensurate with experience and ability. ,
,
To Apply: ,
Please email resume/CV and cover letter and reply directly to this posting. Feel free to attach portfolio or other relevant materials. Telephone inquiries regarding this position are not accepted.    "
2020-10-21 19:40,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-decorating-internship/7218142991.html,Interior Decorating Internship,internship stipend,part-time,,"
        ,
Description:,
Interior Design/Decorating internship for an architectural and interior design firm in the Flatiron District. Intern will be working mostly with project designers on modern, high-end residential projects.  Responsibilities will be focused on FF&E, vendor correspondence, documentation of projects, installations and space planning. ,
,
Requirements:,
It is important and required you are fluent in Microsoft office/Excel, InDesign, Photoshop, and have experience in ACAD.  You must also be very fluent and well versed in the English language.  Intern must be a team player with a keen eye on detail and execution, as well as strong organizational and note taking skills.  ,
,
To apply:,
Please forward your details, resume and link to your portfolio or maximum of 3 MB of sample work. ,
,
About the company:,
We are a multi-tiered company specializing in architecture, interior design, and home furnishings. The scope of our company includes a modern, high-end architecture and interior design firm, home décor showrooms (3 locations), and a furniture and product design firm.,
    "
2020-10-22 12:31,https://newyork.craigslist.org/que/egr/d/maspeth-assist-project-manager-project/7218441536.html,Assist Project Manager/ Project Manager / Estimator,Compensation based on experince,full-time,,"
        ,
Assistant Project Manager/ Project Manager / Estimator,
,
Established NYC based Construction firm seeks self-motivated energetic individual with minimum 3 years’ experience in  Curtain Wall systems, Windows, Storefront and Misc. Metals,
,
Duties Include: Preparing detailed take-offs and estimates, analyzing architectural drawings, developing scope of work, preparing formal proposals, attend meetings and walk throughs, solicit bids from subcontractors and vendors, manage projects, cost control, submittals and scheduling.,
,
Candidate must have thorough knowledge of computer programs especially Excel, Word,  and MS Project and possess strong analytical and communication skills with an eye for detail.,
,
BA/BS in architecture or engineering A+ Drawing, sketching and Auto CAD proficiency A+,
,
Competitive salary  package based on experience ,
,
    "
2020-10-22 14:28,https://newyork.craigslist.org/que/egr/d/fresh-meadows-special-inspector-icc-aci/7218525515.html,Special Inspector (ICC/ACI Certified),The salary is based on level of experience.,full-time,,"
        ,
Job Description:,
,
We are currently seeking an inspector to join our team to perform special inspection on New York City construction projects.,
,
Duties and Responsibilities:,
- Review construction documents and shop drawings.,
- Perform special inspection for residential and commercial buildings in New York City.,
- Prepare reports on inspection activities, file documentation and complete required technical report forms in accordance with New York City Building Codes.,
- Coordinate with owners, contractors, and engineers.,
,
Skills and Qualifications:,
- High School Diploma is required. Bachelor’s degree or higher is preferred.,
- 2+ years of related work experience as a special inspector.,
- Currently certified at least one of the following inspector certificate,
  * ICC/ACI Concrete Inspector,
  * ICC Masonry Inspector,
  * ICC Steel Bolting Inspector,
  * ICC Steel Welding Inspector,
  * ICC Commercial Mechanical Inspector,
  * ICC Sprayed Applied Fireproofing Inspector ,
- Excellent verbal and written communication skills,
- Ability to effectively work independently and collaboratively in a team environment,
- Must be eligible to work in the United States,
    "
2020-10-22 15:20,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-high-end/7218560561.html,Project Architect - High End Residential,Commensurate with experience.,full-time,,"
        ,
A growing New York City based, boutique architectural & interior design firm seeks to hire a full time Project Architect to work on a variety of high-end residential projects.,
,
For the Project Architect's position in New York City, the applicant must have 3-5 years professional experience of working in an architectural firm. Knowledge of residential detailing, shop drawings and superior AutoCAD skills are required.,
,
The qualified candidates will need to be enthusiastic, hard working, well-organized and highly motivated w/excellent verbal and written communications skills.,
,
Candidates will work directly with the firm's principal and project team to produce highly detailed designs, construction documents and manage all aspects of the projects during construction. Supervision available to assist w/completion of NCARB Intern Development Program.,
,
QUALIFICATIONS,
,
- Professional Undergraduate or Master's Degree in Architecture,
,
- Minimum (3-5) Years of Experience in High-end Residential Design,
,
- Technical Expertise in AutoCAD & Construction Documents Experience,
,
- Proficiency in Adobe Photoshop & 3D Modeling advantageous,
,
- A minimum of (2) professional references,
,
- Candidates must confirm eligibility/qualifications to work in United States,
,
Job Type: Full-time,
,
Job Location: New York, NY 10069,
,
Required education: Bachelor's of Architecture,
,
Required experience: 3-5 years,
,
Job Type: Full-time,
,
Job Type: Full-time,
,
COVID-19 considerations:,
To keep our office as safe as possible, we will be implementing a combination of in-person and remote working.    "
2020-10-22 20:18,https://newyork.craigslist.org/que/egr/d/architect-cad-drafting/7218722808.html,Architect CAD Drafting,"48k to 65k, commensurate with qualification and level of experience",full-time,,"
        ,
Angelo Ng + Anthony Ng Architects Studio [www.ArchitectsStudioNY.com] is seeking an Intermediate AutoCAD Draftsperson for projects including new Residential/Commercial base buildings, alterations and Interior Renovation projects. ,
,
The candidate will work directly with the Principal Architect to manage and coordinate day to day operation of the projects.,
,
Qualifications:,
-Knowledge in Construction Details,
-Full engagement of projects,
-Knowledge of NYC Zoning Resolution, NYC Building Codes, Energy Analysis,
-Experience coordinating and working with consulting engineers,
-Understanding of building envelope,
-Proficient drafting skills using AutoCAD, including layer management,
-A proactive, self-disciplined and confident attitude, at ease in a fast-paced working environment,
-Detail-oriented, accurate and hands-on approaches to projects,
-Minimum 3 years of construction technical work experience ,
,
,
Ideal candidates are those looking for growth through long-term employment and must be able to work overtime when required. Company offers health insurance benefits and 401K participation opportunity.  ,
,
Email cover letter  and resume [in pdf format] with desired compensation to us with confidence. Any other format will not be viewed.  Please indicate CAD under subject line on email.,
,
    "
2020-10-21 09:22,https://newyork.craigslist.org/mnh/egr/d/water-treatment-specialist-chemist/7217743533.html,Water Treatment Specialist/ Chemist,To be discussed with the Hiring Manager,full-time,,"
        ,
Planate Management Group (PMG) is a Service-Disabled Veteran-Owned Small Business (SDVOSB) headquartered in Alexandria, Virginia, and Orlando, Florida USA with a technical support center in South East Asia and East Africa, that provides program management and facilities engineering services worldwide. Planate is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the US Department of Defense (DOD) and its Service (Army, Air Force, Navy, Marine Corps) missions, along with other US federal agencies, all over the world.,
,
The Water Treatment Specialist/ Chemist will be responsible for the complete operations and maintenance of the water production at three (3) complex reverse osmosis membrane filtration treatment plants and the distribution systems to ensure that the water is safe, aesthetically pleasing, and meets operational and mission needs and its requirements. This is to support the UEM Operations Supervisor and UEM Product Line Director who reports to the Public Works Director, the head of the Public Works Business Line (PWBL).,
,
Services will be performed at NAVFAC EURAFSWA, NAS Sigonella, Italy.,
,
Accommodation will be shouldered by the Company. ,
,
Key responsibilities:,
,
Coordinate all work with contractors, other Navy staff, and other PWD personnel,
Develop performance standards, typically under the cognizance of the UEM Branch Head/Director of Operations.,
Plan and develop water-related operations and maintenance projects including emergency, service and minor work,
Advise UEM Branch Head of required large capital improvements, specific work, and Major Maintenance projects for long-range planning goals and take or recommend appropriate action,
Provide weekly updates on the status of repair efforts for in-house and contractor actions,
Review and evaluate work methods, assignments, and staffing and act to reduce costs and increase productivity; must be knowledgeable in the use of MAXIMO work management application to monitor, measure and control productivity and costs,
Follow official policies and directives and comply with regulations for use of public funds and materials,
Coordinate, plan, schedule and execute duties to ensure delivery of quality and economical services,
Directly operate, maintain, repair, and manage the drinking water treatment plant (WTP) and distribution system (including cross-connection and backflow prevention equipment under the jurisdiction of the UEM business line) to ensure that water is safe, aesthetically pleasing, and meets operational and mission always needs and requirements (24hrs/day). Provide weekly updates on the water distribution status, including status on known leaks and repairs,
Manage and oversee drinking WTPs and distribution systems under the jurisdiction of the UEM, FMS (BOSC Contract) or AM (Lease) business lines. Provide biweekly updates on Sanitary Survey findings,
Maintain operator logs and site logbooks according to the Overseas Drinking Water Plant Operational Logs and Site Log Books Standard Operating Procedures (SOPs). Prepare daily situation reports for key plant parameters for NAS I and NAS II,
Perform other responsibilities associated with this position as may be appropriate.,
,
Qualifications To be successful in the role:,
,
Degree in Chemistry, Chemical Engineering or any related field of study,
With Specialized knowledge and experience in the following: water chemistry; potable water operations, maintenance, and monitoring; water production wells; complex water treatment/filtration plants; water pump stations; elevated and ground-level water storage systems; distribution systems including mains, fire hydrants, customer service connections, backflow prevention, meters, blow-offs, and air/vacuum release valves; and overall technical expertise to solve a broad range of water quality problems,
Knowledgeable in technical and procedural guidelines pertaining to water systems and current editions of the Italy Final Governing Standards (FGS), Navy Overseas Drinking Water (ODW) program, European/Italian Drinking Water Legislation, Navy Uniform Facilities Criteria guidance for potable water systems, and industry-wide standards including International Plumbing Code, International Mechanical Code, American Water Works Association Standards and Manuals of Practice,
Certified in Water Treatment and Distribution Operator in accordance with the Association of Boards of Certification – Water Treatment Certification Class III and Water Distribution Certification Class I or higher or a U.S. State Certification comparable to these levels of certification,
Able to communicate orally and in writing to make technical and managerial presentations,
Proficient in using Microsoft Office suites,
Must be a US citizen.,
Planate Management Group is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status, and will not be discriminated against on the basis of disability.,
,
Why Planate?,
,
Joining the Planate team opens you to an experience working for a Global company where you are among a team that is considered a premier trusted partner for planning, design, engineering, asset management, and professional service solutions anytime, anywhere.  We Take Care of Our Own; Personally, and Professionally, Up and Down The Line. ,
,
We’d love for you to be a part of our Global workforce, helping us serve as an effective and integrated partner to advance every client's mission!    "
2020-10-23 10:15,https://newyork.craigslist.org/que/egr/d/construction-estimator-project-manager/7218901268.html,Construction Estimator/Project Manager,Competitive salary,full-time,,"
        ,
Construction Estimator/Project Manager,
,
Established NYC based Construction firm seeks self-motivated energetic individual with minimum 10 years' experience to join our team.  ,
,
Duties Include: Preparing detailed take-offs and estimates, analyzing architectural drawings, developing scope of work, preparing formal proposals, attend meetings and walk throughs, solicit bids from subcontractors and vendors, manage projects, cost control, submittals and scheduling. ,
,
Candidate must have thorough knowledge of computer programs especially Excel, Word, Planswift and MS Project and possess strong analytical and communication skills with an eye for detail.,
,
BA/BS in architecture or engineering preferred.  Drawing, sketching and Auto CAD proficiency a plus.,
,
Competitive salary and benefits package.,
    "
